,activation_fn,batch_size,epochs,input_dimensions,num_neurons_1,num_neurons_2,optimizer_fn,mean_test_score,std_test_score,mean_fit_time
0,tanh,8,5,"(62,)",20,20,adam,1.2407163373080732,0.004607438411853411,25.43954626719157
1,tanh,8,5,"(62,)",20,20,sgd,1.2492708570431492,0.008419797660873161,22.397282520929974
2,tanh,8,5,"(62,)",20,50,adam,1.248559587735221,0.008833186080518127,25.236645698547363
3,tanh,8,5,"(62,)",20,50,sgd,1.2505271846393742,0.004860224952953329,23.799681345621746
4,tanh,8,5,"(62,)",50,20,adam,1.2399394213508401,0.0044973989526704405,24.345768451690674
5,tanh,8,5,"(62,)",50,20,sgd,1.2457510563409362,0.004550682429451074,21.864143927892048
6,tanh,8,5,"(62,)",50,50,adam,1.2456331428095027,0.0019225796440477574,25.369774341583252
7,tanh,8,5,"(62,)",50,50,sgd,1.2548433897474869,0.006337966720136816,23.323410511016846
8,tanh,8,5,"(62,)",100,20,adam,1.237990690417377,0.0038905866379119448,25.159351984659832
9,tanh,8,5,"(62,)",100,20,sgd,1.2509010469308228,0.0031799059115439877,22.756694793701172
10,tanh,8,5,"(62,)",100,50,adam,1.2430405756773413,0.007621931208310708,31.440110683441162
11,tanh,8,5,"(62,)",100,50,sgd,1.25496136495519,0.01550949098183116,22.723015864690144
12,tanh,32,5,"(62,)",20,20,adam,1.2470855594105115,0.0045928783138241445,6.280080000559489
13,tanh,32,5,"(62,)",20,20,sgd,1.2554973690698643,0.0029639267675066207,6.055667400360107
14,tanh,32,5,"(62,)",20,50,adam,1.2471082722822489,0.003014912042243857,7.386942545572917
15,tanh,32,5,"(62,)",20,50,sgd,1.255058198080054,0.0049097187126579496,6.470011075337728
16,tanh,32,5,"(62,)",50,20,adam,1.2443566439609457,0.005658699904855337,8.03597116470337
17,tanh,32,5,"(62,)",50,20,sgd,1.2545470012895379,0.0027393437634008963,6.889975070953369
18,tanh,32,5,"(62,)",50,50,adam,1.2443017079522056,0.0006562896031531679,8.730865557988485
