,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_lambda,mean_test_score,std_test_score,mean_fit_time
0,0.25,1,0.05,6,50,0.1,1.469042534530188,0.0009298351602970741,1.0573499997456868
1,0.25,1,0.05,6,50,1.0,1.4703442466872858,0.0016006189637650472,0.9552676677703857
2,0.25,1,0.05,6,50,10.0,1.4792194424002691,0.0017597470991973945,0.8690152168273926
3,0.25,1,0.05,6,100,0.1,1.2775334782493966,0.0006274039432983601,2.2926915486653647
4,0.25,1,0.05,6,100,1.0,1.2778965765911963,0.001303390687950998,2.183954874674479
5,0.25,1,0.05,6,100,10.0,1.2816424952528032,0.001383848318869981,2.000498374303182
6,0.25,1,0.05,6,300,0.1,1.2239347560040514,0.003678019424585808,5.2863874435424805
7,0.25,1,0.05,6,300,1.0,1.2231476771707817,0.0035928888325011377,4.9378821849823
8,0.25,1,0.05,6,300,10.0,1.2219083031995557,0.002636677888043604,4.719897190729777
9,0.25,1,0.05,12,50,0.1,1.4805786199724242,0.0009823923785273541,1.9194885889689128
10,0.25,1,0.05,12,50,1.0,1.4751044020472879,0.0014302013934593088,1.7728166580200195
11,0.25,1,0.05,12,50,10.0,1.4781262701745614,0.0015958598356812473,1.2371846834818523
12,0.25,1,0.05,12,100,0.1,1.3178292284835542,0.002654754530530323,4.071787675221761
13,0.25,1,0.05,12,100,1.0,1.3016182162263508,0.002786864324644765,4.069654782613118
14,0.25,1,0.05,12,100,10.0,1.2830945491307941,0.0015323280834325952,3.5832517941792807
15,0.25,1,0.05,12,300,0.1,1.3036034264325673,0.0055111951893996175,12.166178703308105
16,0.25,1,0.05,12,300,1.0,1.2881709604734113,0.004354729878442192,11.008227745691935
17,0.25,1,0.05,12,300,10.0,1.2579895667936745,0.0049047742692772955,10.470401763916016
18,0.25,1,0.05,24,50,0.1,1.5462797568619069,0.0031061241175950223,4.674644152323405
19,0.25,1,0.05,24,50,1.0,1.511832500147661,0.0019298717391704448,3.4961416721343994
20,0.25,1,0.05,24,50,10.0,1.4819138388213844,0.0020232484588592324,1.7625481287638347
21,0.25,1,0.05,24,100,0.1,1.4152094836345304,0.002105502182004906,10.109551509221395
22,0.25,1,0.05,24,100,1.0,1.3691031962809463,0.0036496214656059067,8.228338241577148
23,0.25,1,0.05,24,100,10.0,1.3080104706516682,0.002843495676127315,6.337769905726115
