UserID,Title,Img_Path,Img_File_Name,Year,Description,Directors,Stars,Viewer_Advisory,Duration,Genre,Votes,Movie_Rating,User_Rating
ur22171966,Goosebumps,"https://m.media-amazon.com/images/M/MV5BMjA1OTUzNTQ5Ml5BMl5BanBnXkFtZTgwODQ4NDkxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",ur22171966_Goosebumps.jpg,2015,"A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",['Rob Letterman'],"['Jack Black', 'Dylan Minnette', 'Odeya Rush', 'Ryan Lee']",PG,1 hr 43 min,"Adventure, Comedy, Fantasy",90981,6.3,7
ur22171966,Seoul Station,"https://m.media-amazon.com/images/M/MV5BMTM3ZGNhYmMtYzFkYi00MDM4LWJjNjktM2U3NmY0N2I3MjI2XkEyXkFqcGdeQXVyNjU3MzA0NjE@._V1_UY209_CR3,0,140,209_AL_.jpg",ur22171966_Seoul Station.jpg,2016,Several groups of people try to survive a zombie pandemic that unleashes itself in downtown Seoul.,['Sang-ho Yeon'],"['Seung-ryong Ryu', 'Shim Eun-kyung', 'Joon Lee', 'Jang Hyuk-jin']",NC16,1 hr 32 min,"Animation, Action, Horror",7023,6.1,5
ur22171966,Hacksaw Ridge,"https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",ur22171966_Hacksaw Ridge.jpg,2016,World War II American Army Medic,['Mel Gibson'],"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",R,2 hr 19 min,"Biography, Drama, History",541109,8.1,9
ur22171966,Infernal Affairs III,"https://m.media-amazon.com/images/M/MV5BOTZkODlhMzItNmFlMC00MTkyLTljMzgtMzgwZDBhNjU2OGRhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",ur22171966_Infernal Affairs III.jpg,2003,"Months after the events of the original film, Ming suspects a police superintendent as being a new mole for the triads, while years earlier, Yan embarks on his first mission.","['Andrew Lau', 'Alan Mak']","['Tony Leung Chiu-wai', 'Andy Lau', 'Leon Lai', 'Daoming Chen']",Not Rated,1 hr 58 min,"Action, Crime, Drama",13982,6.8,5
ur22171966,Infernal Affairs II,"https://m.media-amazon.com/images/M/MV5BMWZjMjgxYTctNjRhMi00NDFkLWI1MDctMmM5MWQyZmRkOWE4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",ur22171966_Infernal Affairs II.jpg,2003,"In this prequel to Mou gaan dou (2002), Chan Wing Yan has just become an undercover cop in the triads while Lau Kin Ming joins the police force. Both the triads and the police find an enemy in a rival crime boss.","['Andrew Lau', 'Alan Mak']","['Edison Chen', 'Shawn Yue', 'Anthony Chau-Sang Wong', 'Francis Ng']",Not Rated,1 hr 59 min,"Action, Crime, Drama",18748,7.3,7
ur22171966,Infernal Affairs,"https://m.media-amazon.com/images/M/MV5BZWM1MTdhM2YtNjgwZS00YjQ3LTk3NTQtMzQ1NDE3YzZlODFlXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY209_CR11,0,140,209_AL_.jpg",ur22171966_Infernal Affairs.jpg,2002,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","['Andrew Lau', 'Alan Mak']","['Andy Lau', 'Tony Leung Chiu-wai', 'Anthony Chau-Sang Wong', 'Eric Tsang']",R,1 hr 41 min,"Action, Crime, Drama",126892,8.0,9
ur22171966,Moonlight,"https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",ur22171966_Moonlight.jpg,2016,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",['Barry Jenkins'],"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']",R,1 hr 51 min,Drama,315152,7.4,8
ur22171966,La La Land,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",ur22171966_La La Land.jpg,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']",PG-13,2 hr 8 min,"Comedy, Drama, Music",606540,8.0,9
ur22171966,Arrival,"https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_UX140_CR0,0,140,209_AL_.jpg",ur22171966_Arrival.jpg,2016,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,['Denis Villeneuve'],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",PG-13,1 hr 56 min,"Drama, Mystery, Sci-Fi",710346,7.9,8
ur22171966,Nikita,"https://m.media-amazon.com/images/M/MV5BMTEyNjc4MTgtN2YxMS00ZGM5LTk2NjEtOGRhNDY5OWM5ZTQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",ur22171966_Nikita.jpg,1990,"Convicted felon, Nikita, isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.",['Luc Besson'],"['Anne Parillaud', 'Marc Duret', 'Patrick Fontana', 'Alain Lathière']",R,1 hr 57 min,"Action, Crime, Drama",73574,7.3,4
